iter	Logloss
0	0.674062481
1	0.6576892834
2	0.6442695054
3	0.6324564662
4	0.6206862425
5	0.6110014744
6	0.6011330354
7	0.5970329082
8	0.5932976155
9	0.589332337
10	0.5856823033
11	0.582783771
12	0.5789885472
13	0.5767594869
14	0.573642629
15	0.5723664722
16	0.5712508999
17	0.5703864445
18	0.5691449352
19	0.566967798
20	0.565940561
21	0.5634291448
22	0.5626506332
23	0.5613016775
24	0.5594745214
25	0.5586515394
26	0.5570789192
27	0.5566892901
28	0.5559584753
29	0.555182214
30	0.5542280119
31	0.5537050097
32	0.5532733896
33	0.5527756013
34	0.5517521241
35	0.5513145145
36	0.5507893204
37	0.5502951449
38	0.5498672253
39	0.549437494
40	0.5490028251
41	0.5486549563
42	0.5482616652
43	0.5479540373
44	0.5475029741
45	0.5471556807
46	0.5468259585
47	0.5455754801
48	0.5452473097
49	0.5449447394
50	0.5447975134
51	0.5444157967
52	0.5436227579
53	0.5434086769
54	0.5430902243
55	0.5428047774
56	0.5426176549
57	0.5424636047
58	0.5421725639
59	0.5419961155
60	0.5416685711
61	0.5413051051
62	0.5410564404
63	0.5398881689
64	0.5395737894
65	0.5393114054
66	0.5390888244
67	0.5389773394
68	0.5388048453
69	0.5387465836
70	0.5377653031
71	0.5375632221
72	0.5374050111
73	0.5372314939
74	0.5370123822
75	0.5366648579
76	0.5363884267
77	0.5362536706
78	0.5360923715
79	0.5358798311
80	0.5357439016
81	0.535699305
82	0.5355331528
83	0.5344834723
84	0.5343311862
85	0.5341087498
86	0.5339950767
87	0.5338008953
88	0.5335702656
89	0.5333362559
90	0.5331351919
91	0.5328832836
92	0.5327599352
93	0.5326794656
94	0.5325706624
95	0.5322916125
96	0.5321933705
97	0.5319116702
98	0.5317160362
99	0.5315130026
100	0.5312477357
101	0.5311452826
102	0.5309582631
103	0.5308392896
104	0.5307129851
105	0.5305205711
106	0.5303768362
107	0.5302477099
108	0.5297267176
109	0.5295578737
110	0.5294321832
111	0.5292281735
112	0.5290681339
113	0.5289019166
114	0.5287792384
115	0.528034178
116	0.5278534013
117	0.5276573057
118	0.5270429866
119	0.5267665832
120	0.5265289115
121	0.526357345
