iter	Logloss
122	0.5262092869
123	0.5259413389
124	0.5258505394
125	0.5256750375
126	0.5254696994
127	0.5253400877
128	0.5251553362
129	0.5249404713
130	0.5247796933
131	0.5246410747
132	0.5244022604
133	0.5243060733
134	0.5241407921
135	0.5239229119
136	0.5237443917
137	0.5235899431
138	0.5234363627
139	0.523237876
140	0.5230852986
141	0.522821041
142	0.5226316092
143	0.522438977
144	0.522316279
145	0.5221363836
146	0.5219357175
147	0.5217168563
148	0.5216016424
149	0.5214035463
150	0.5212756881
151	0.5210560214
152	0.5209324461
153	0.5208363195
154	0.5205559259
155	0.5204678475
156	0.5202782817
157	0.5201578121
158	0.5199379001
159	0.5197784725
160	0.5195839749
161	0.5194447747
162	0.5193043856
163	0.5192524827
164	0.5191420071
165	0.5190297016
166	0.5188883356
167	0.5187356167
168	0.5185390843
169	0.5182695895
170	0.518046469
171	0.5177248422
172	0.5175916054
173	0.5174271954
174	0.5172679179
175	0.5171761498
176	0.5164844117
177	0.5163775494
178	0.5162251584
179	0.5161027205
180	0.5160149957
181	0.5158879606
182	0.5157445995
183	0.5156112017
184	0.5154262437
185	0.5152951281
186	0.5150641453
187	0.5147207556
188	0.5145201422
189	0.5143909107
190	0.5142108735
191	0.5140677557
192	0.5139579227
193	0.5138307024
194	0.5137098632
195	0.5135768337
196	0.5133902487
197	0.5132162049
198	0.5131295648
199	0.5130142416
200	0.5129227083
201	0.5126928776
202	0.512560473
203	0.5123899487
204	0.5121918059
205	0.512078706
206	0.5119332861
207	0.5117496652
208	0.5116336371
209	0.5115093788
210	0.5113798679
211	0.5111339144
212	0.5109659809
213	0.510745943
214	0.5101540458
215	0.5099803588
216	0.5098544399
217	0.5097475128
218	0.5094418998
219	0.5089847183
220	0.5088656924
221	0.5086924119
222	0.5085300906
223	0.5083879775
224	0.5081928461
225	0.5080536086
226	0.5078607602
227	0.5077136646
228	0.5072273363
229	0.5070419026
230	0.5069002489
231	0.5066708314
232	0.5065017926
233	0.5063030897
234	0.5061908163
235	0.5060694942
236	0.5058308573
237	0.5057014999
238	0.505620071
239	0.505432181
240	0.5052429797
241	0.5050909495
242	0.504900346
243	0.5047394028
244	0.5045742984
245	0.5044569625
246	0.504294417
247	0.5040759686
248	0.5039388861
249	0.5037895049
250	0.5036232583
251	0.5034803359
252	0.5033124038
253	0.5030960194
254	0.502943064
255	0.502727851
256	0.5025702605
257	0.5023687873
258	0.5022044329
259	0.5020628411
260	0.5018773599
261	0.5016976428
262	0.5015426722
263	0.5013977313
264	0.5012696721
265	0.5010316414
266	0.5008459724
267	0.5006483324
268	0.5004596335
269	0.5003263775
270	0.5001948392
271	0.5000425716
272	0.4998419662
273	0.4996332884
274	0.499485809
275	0.4993232092
276	0.4991617237
277	0.4989984173
278	0.4988238596
279	0.4986999866
280	0.4985164766
281	0.4984296998
282	0.4982987919
283	0.4981627237
284	0.4979970883
285	0.497800922
286	0.4976643588
287	0.4975485451
288	0.4973627493
289	0.4971637529
290	0.49685023
291	0.4967765997
292	0.4966495898
293	0.4964820274
294	0.4962880187
295	0.496154151
296	0.4960072006
297	0.4958464677
298	0.4957607325
299	0.4955840315
300	0.4954273713
301	0.4952906008
302	0.4951761507
303	0.4950753434
304	0.4949434662
305	0.4947552108
306	0.4946152469
307	0.4944460915
308	0.4943076439
309	0.4940779133
310	0.4938829741
311	0.493754432
312	0.4935974308
313	0.4934522575
314	0.4933652148
315	0.4932960911
316	0.4931343403
317	0.4930117051
318	0.4928532894
319	0.4926893895
320	0.4925516932
321	0.4924371733
322	0.4923271122
323	0.4922459465
324	0.4921443911
325	0.4920123902
326	0.4918940546
327	0.4917932341
328	0.4915147322
329	0.4913434042
330	0.4912581877
331	0.4911033482
332	0.4910120402
333	0.4908378247
334	0.4906978095
335	0.4905847153
336	0.4903564017
337	0.490302246
338	0.4901184798
339	0.4899865243
340	0.4898644354
341	0.4896418129
342	0.4894704144
343	0.4892979706
344	0.4891105909
345	0.4889878255
346	0.4888359662
347	0.4887115858
348	0.488572828
349	0.4884701646
350	0.4883315622
351	0.488254906
352	0.4881173309
353	0.4880135077
354	0.4878715169
355	0.4877544476
356	0.48733093
357	0.4871275351
358	0.4870138288
359	0.4869073009
360	0.4867701681
361	0.4866438565
362	0.4865217611
363	0.4863162653
364	0.4862612612
365	0.4861261594
366	0.4859822428
367	0.4857994521
368	0.4857210918
369	0.4855921328
370	0.4854692112
371	0.4853606177
372	0.4852046873
373	0.4851543553
374	0.485013778
375	0.4848931743
376	0.4847988971
377	0.4846293989
378	0.4845089705
379	0.4843841518
380	0.4842755074
381	0.4841412979
382	0.4839838238
383	0.4838423138
384	0.483733306
385	0.4836260015
386	0.4834394602
387	0.4833073164
388	0.4831549961
389	0.483051265
390	0.4829311543
391	0.4826904474
392	0.4825662976
393	0.4824270123
394	0.4822410124
395	0.4820651357
396	0.4819517632
397	0.4818647488
398	0.4817339339
399	0.4816409645
400	0.4815141632
401	0.4813853625
402	0.4812402518
403	0.4811454138
404	0.4810167738
405	0.4809423715
406	0.4808236532
407	0.4806972862
408	0.4806007017
409	0.480482689
410	0.4803681821
411	0.4802146393
412	0.4801438624
413	0.4799930849
414	0.4799260898
415	0.4798050011
416	0.4796920898
417	0.4793105456
418	0.4790088199
419	0.4788597522
420	0.4787673126
421	0.4786415707
422	0.4784891052
423	0.4783117657
424	0.4781956694
425	0.47802474
426	0.4779086798
427	0.4778004937
428	0.4776631986
429	0.4775597292
430	0.477423153
431	0.4772534573
432	0.4772293607
433	0.477105483
434	0.4769603981
435	0.4768630876
436	0.4766320665
437	0.4764793525
438	0.4763475397
439	0.4762323512
440	0.4761339294
441	0.475812511
442	0.4757398457
443	0.4756073821
444	0.4754792482
445	0.4753575131
446	0.4752172462
447	0.4751251687
448	0.4750337362
449	0.4750086472
450	0.4748381785
451	0.4747284856
452	0.4745954731
453	0.4744501202
454	0.4742934155
455	0.4741690118
456	0.4740428404
457	0.4738515566
458	0.4736935842
459	0.4735806467
460	0.4734519185
461	0.4732921975
462	0.4731765103
463	0.4729696889
464	0.4727999615
465	0.4727089824
466	0.4725742808
467	0.4724724351
468	0.4723653094
469	0.4722824341
470	0.4721898807
471	0.472005676
472	0.4719059547
473	0.471786504
474	0.4716555246
475	0.4715203407
476	0.4714135769
477	0.4713068664
478	0.4711692133
479	0.471032813
480	0.4709142354
481	0.4708214446
482	0.4707123427
483	0.4705782644
484	0.4704408212
485	0.4700449478
486	0.4700032811
487	0.46987732
488	0.4697837253
489	0.4696842644
490	0.4695876915
491	0.469498199
492	0.4693553571
493	0.4692674347
494	0.4691073833
495	0.4689927999
496	0.4688730736
497	0.4688494045
498	0.4687916477
499	0.4686510565
